User ID,Name,Age,Gender,Sexual Orientation,Location,Education,Occupation,Height (in cm),Smoking/ Drinking preferences,Religion,Relationship goals,Horoscope,Verification,Blocked users,Liked users,Disliked users,Matches,Preferred_gender,Distance_radius(in KM),Compatibility_factors,Question_id,Category,Question,Message_id,User_id,Time_started,Time_closed,Deleted_conversation
21,Casper Edworthie,86,Female,Heterosexual,Niort,In grad school,Recruiter,146,0,INC,Marriage,Cancer,1,473,521,178,977,Male,59,Shared Interests,531,1,What's your impression of me from my profile?,302,215,2:04 PM,1:46 PM,0
22,Karlotte Dugget,72,Male,Heterosexual,Dessalines,High school,Assistant Professor,131,0,Agnostic,Marriage,Scorpio,1,683,278,503,231,Female,83,Shared Interests,76,4,What would you guess about me that isn't on my profile?,127,344,6:18 AM,7:07 AM,0
23,Jodie Ralph,91,Female,Asexual,Armenia,High school,Senior Sales Associate,138,0,INC,Relationship,Leo,1,413,354,864,898,Female,94,Shared Values,39,2,What's something you've done and will never do again?,632,406,10:49 AM,9:11 AM,0
24,Doy Zukierman,70,Female,Bisexual,Radocza,High school,Paralegal,245,1,Born Again Christian,Something casual,Aquarius,0,366,398,994,907,Male,79,Shared Interests,678,3,What would you do on a rainy Sunday?,693,643,4:10 AM,11:43 AM,0
25,Abner Leal,100,Female,Homosexual,General Elizardo Aquino,High school,Marketing Assistant,177,1,Agnostic,Don't know yet,Aquarius,1,371,854,319,849,Male,86,Shared Values,443,5,What's the funniest nickname someone has for you?,841,366,10:07 PM,3:51 PM,0
26,Victoir MacGoun,58,Female,Asexual,Kenyau,High school,Librarian,150,1,INC,Marriage,Pisces,1,760,689,224,749,Male,41,Shared Interests,463,4,What's your go-to feel good movie or series?,46,72,12:09 PM,9:38 AM,1
27,Desi Kinnaird,76,Male,Bisexual,Norsborg,In college,Paralegal,238,0,Born Again Christian,Don't know yet,Virgo,0,979,723,895,685,Male,96,Shared Interests,419,4,What's a really sexy name for someone?,677,118,11:15 PM,10:57 AM,1
28,Mikael Lightewood,42,Female,Bisexual,Všetaty,Undergraduate degree,Accounting Assistant I,211,1,Christian,Don't know yet,Virgo,0,821,155,269,811,Genderfluid,26,Shared Interests,130,5,Who's your favorite LGBTQ+ icon and why?,884,386,10:22 PM,7:30 PM,1
29,Carlen MacBrearty,21,Female,Homosexual,Jiyizhuang,Undergraduate degree,Geological Engineer,192,0,Buddhist,Relationship,Sagittarius,0,436,509,152,697,Female,70,Shared Interests,594,5,What's your go-to feel good movie or series?,303,889,5:59 PM,8:51 PM,1
30,Meagan Bondar,28,Female,Bisexual,San Carlos,In grad school,Quality Engineer,195,1,Agnostic,Marriage,Sagittarius,1,757,267,348,458,Female,14,Shared Hobbies,456,5,What's the funniest nickname someone has for you?,815,536,5:26 PM,10:43 PM,0
31,Algernon Baguley,78,Male,Bisexual,Kout na Šumavě,In college,Web Designer I,148,1,Catholic,Something casual,Leo,0,835,723,393,134,Male,15,Shared Hobbies,284,4,What's your go-to feel good movie or series?,202,330,8:19 AM,11:45 AM,0
32,Winona Polleye,95,Male,Heterosexual,Sharan,In grad school,Social Worker,229,1,INC,Don't know yet,Sagittarius,0,776,488,421,109,Female,71,Shared Hobbies,885,4,What's your go-to feel good movie or series?,41,851,2:53 PM,6:47 PM,0
33,Cyrillus Pearmine,27,Female,Homosexual,Vygonichi,In college,Community Outreach Specialist,206,0,Atheist,Don't know yet,Gemini,0,569,533,874,429,Male,82,Shared Values,597,3,What's your impression of me from my profile?,419,510,3:29 PM,6:36 AM,1
34,Caritta Trahear,36,Female,Pansexual,Caoyan,High school,Administrative Assistant III,175,1,Catholic,Relationship,Capricorn,0,539,192,59,645,Non-binary,6,Shared Hobbies,917,2,Who's your favorite LGBTQ+ icon and why?,970,207,3:58 PM,4:08 AM,1
35,Doris De Gouy,35,Agender,Heterosexual,Goba,Graduate degree,Mechanical Systems Engineer,186,1,Christian,Something casual,Scorpio,1,287,236,157,551,Female,92,Shared Interests,899,1,When do you feel at your sexiest?,358,426,2:35 AM,4:25 AM,0
36,Reeva Sallter,75,Female,Homosexual,Milanówek,High school,Mechanical Systems Engineer,194,1,Catholic,Marriage,Libra,1,272,431,184,871,Female,14,Shared Interests,704,4,Who's your favorite LGBTQ+ icon and why?,980,318,11:41 AM,8:54 AM,1
37,Emmalyn Mithon,97,Male,Homosexual,Guaduas,Undergraduate degree,Electrical Engineer,228,1,Atheist,Don't know yet,Scorpio,1,520,438,457,126,Female,19,Shared Interests,76,2,Who's your favorite LGBTQ+ icon and why?,240,315,1:25 AM,3:26 PM,1
38,Sig Zoane,84,Male,Pansexual,Kiili,In grad school,Mechanical Systems Engineer,226,1,INC,Don't know yet,Leo,1,755,142,439,551,Male,41,Shared Hobbies,385,1,When do you feel at your sexiest?,435,667,6:05 AM,11:46 PM,1
39,Rhiamon Wordsworth,92,Female,Bisexual,Jinhua,In college,Software Test Engineer IV,129,1,Atheist,Relationship,Aries,1,437,469,33,755,Female,69,Shared Values,723,4,What would you guess about me that isn't on my profile?,546,879,4:47 AM,7:50 PM,0
40,Clarissa Bartoszewski,39,Female,Asexual,Labuan,High school,Software Test Engineer IV,164,1,Agnostic,Marriage,Capricorn,1,91,552,813,506,Female,93,Shared Values,995,5,What's something you've done and will never do again?,239,966,1:37 AM,3:30 PM,0
41,Carolan Lafoy,81,Female,Homosexual,Yegor’yevsk,In grad school,Administrative Officer,238,0,Buddhist,Something casual,Virgo,1,48,616,668,896,Female,52,Shared Interests,943,5,When do you feel at your sexiest?,344,806,12:00 PM,4:10 PM,0
42,Ellery Eastway,74,Male,Bisexual,Nazaré,Undergraduate degree,Programmer IV,234,0,Born Again Christian,Don't know yet,Leo,1,605,989,723,111,Male,43,Shared Values,670,5,What's a really sexy name for someone?,650,839,5:19 PM,2:22 PM,0
43,Alfy Rhucroft,29,Female,Homosexual,Landivisiau,Undergraduate degree,Web Developer I,129,0,INC,Marriage,Virgo,1,257,317,766,359,Male,44,Shared Values,177,5,What's your impression of me from my profile?,394,826,3:38 AM,12:22 AM,0
44,Mal Castagneto,64,Female,Homosexual,Ngrejo,Undergraduate degree,Research Nurse,217,0,Hindu,Marriage,Pisces,0,71,955,238,34,Agender,24,Shared Hobbies,4,1,What's the first thing you find attractive in someone?,486,874,9:01 PM,6:58 PM,0
45,Davie Stolli,31,Male,Pansexual,Siqu,Graduate degree,Account Representative I,154,0,Buddhist,Relationship,Aquarius,0,620,205,642,396,Male,46,Shared Values,994,1,What's something you've done and will never do again?,168,168,6:18 AM,9:13 PM,0
46,Eolanda Noon,65,Male,Pansexual,Divichibazar,In grad school,Staff Accountant I,242,1,Buddhist,Relationship,Libra,0,408,352,251,77,Female,59,Shared Hobbies,609,1,What's your go-to feel good movie or series?,560,240,5:10 AM,7:20 AM,0
47,Monroe Bromet,84,Female,Heterosexual,Trảng Bàng,In grad school,Technical Writer,241,0,INC,Don't know yet,Aries,0,468,766,90,835,Male,35,Shared Values,148,5,What's your impression of me from my profile?,423,392,1:02 PM,1:48 PM,1
48,Basile Bagnal,59,Male,Pansexual,Sembungan Kidul,In grad school,General Manager,223,0,Christian,Relationship,Aquarius,0,518,675,756,547,Male,69,Shared Values,930,5,Who's your favorite LGBTQ+ icon and why?,999,82,10:53 AM,4:32 AM,1
49,Abe Fairbrass,29,Female,Pansexual,Farasān,High school,Statistician I,216,0,Atheist,Don't know yet,Gemini,1,196,380,956,429,Male,92,Shared Values,513,1,What's your impression of me from my profile?,808,236,5:50 PM,1:18 AM,0
50,Concordia Melmoth,18,Male,Heterosexual,Khadīr,Graduate degree,Budget/Accounting Analyst IV,174,0,Catholic,Marriage,Cancer,1,474,361,659,707,Female,35,Shared Hobbies,569,3,What's your impression of me from my profile?,929,662,9:45 AM,10:55 PM,0
51,Celina Ritchley,91,Male,Pansexual,Sumber,Undergraduate degree,Geological Engineer,217,0,Catholic,Something casual,Aries,0,192,766,326,322,Female,32,Shared Interests,730,3,What's the funniest nickname someone has for you?,366,180,3:33 PM,3:17 AM,0
52,Kirstin Skillanders,51,Male,Homosexual,Wushan,In college,Payment Adjustment Coordinator,146,0,Atheist,Marriage,Aquarius,0,787,166,460,228,Female,14,Shared Hobbies,955,5,What's something you've done and will never do again?,276,639,6:40 AM,12:17 PM,1
53,Wyatt Stellino,57,Male,Homosexual,Banyupoh,Graduate degree,Paralegal,135,1,Christian,Something casual,Gemini,0,518,979,937,288,Male,7,Shared Values,249,4,What's the funniest nickname someone has for you?,548,214,2:27 PM,4:41 PM,0
54,Sue Riepel,47,Male,Bisexual,Sarirejo Satu,Graduate degree,Clinical Specialist,242,0,Atheist,Relationship,Scorpio,0,492,145,185,263,Female,45,Shared Hobbies,1,2,What would you guess about me that isn't on my profile?,292,58,4:33 PM,1:18 AM,1
55,Francis Goucher,87,Female,Pansexual,General Belgrano,Undergraduate degree,Staff Accountant II,236,0,Atheist,Something casual,Leo,1,438,711,217,870,Male,84,Shared Hobbies,548,1,What's a really sexy name for someone?,771,971,3:51 PM,7:36 AM,0
56,Rouvin Gaythwaite,58,Agender,Heterosexual,Yujia,In college,Analyst Programmer,201,0,Catholic,Something casual,Pisces,1,200,685,886,467,Male,9,Shared Interests,904,2,What would you guess about me that isn't on my profile?,868,18,12:17 AM,4:49 AM,1
57,Schuyler MacGray,97,Female,Bisexual,Charlotte,In college,Research Assistant II,125,1,INC,Relationship,Libra,1,965,85,727,804,Male,75,Shared Interests,290,4,What would you do on a rainy Sunday?,259,496,6:05 AM,7:50 PM,0
58,Fidelio Huxley,33,Male,Pansexual,Taihe Chengguanzhen,High school,Programmer Analyst II,146,1,Agnostic,Marriage,Pisces,0,235,2,355,294,Male,56,Shared Values,798,1,What would you guess about me that isn't on my profile?,831,315,1:34 AM,1:51 AM,0
59,Oby Spinley,26,Female,Heterosexual,Akebielidou,Graduate degree,Analyst Programmer,142,0,Hindu,Don't know yet,Capricorn,0,54,632,819,465,Agender,95,Shared Values,930,3,Who's your favorite LGBTQ+ icon and why?,837,100,6:22 PM,10:32 PM,1
60,Inger Slym,90,Male,Pansexual,Dzaoudzi,In college,Business Systems Development Analyst,121,1,Buddhist,Marriage,Sagittarius,1,237,862,173,212,Female,87,Shared Interests,366,1,What would you do on a rainy Sunday?,347,45,1:02 AM,1:24 PM,0
61,Kippy Durak,44,Male,Homosexual,Santiago de Cuba,In grad school,Occupational Therapist,172,1,INC,Relationship,Pisces,1,766,568,301,517,Male,4,Shared Hobbies,382,1,What would you do on a rainy Sunday?,885,796,2:17 AM,6:15 AM,0
62,Nestor Devonish,59,Female,Bisexual,Zhiqing Songduo,Undergraduate degree,Senior Quality Engineer,236,1,Buddhist,Something casual,Sagittarius,1,706,299,777,737,Male,11,Shared Interests,861,5,When do you feel at your sexiest?,728,318,7:23 AM,10:18 PM,1
63,Pall Chorley,61,Female,Asexual,Tawaran,Graduate degree,Systems Administrator III,235,0,Agnostic,Marriage,Pisces,0,49,976,157,969,Male,83,Shared Interests,495,3,What would you do on a rainy Sunday?,131,881,12:42 PM,7:10 AM,1
64,Chase Cartmel,100,Female,Bisexual,Businga,In grad school,Analog Circuit Design manager,141,0,Catholic,Don't know yet,Aquarius,0,31,172,579,56,Male,23,Shared Values,953,5,What would you guess about me that isn't on my profile?,743,673,1:45 PM,1:31 AM,0
65,Phylis Kenwin,37,Male,Bisexual,Tagakpan,In grad school,Computer Systems Analyst III,206,0,Buddhist,Don't know yet,Pisces,1,536,624,936,35,Non-binary,16,Shared Values,629,2,What would you do on a rainy Sunday?,222,78,10:35 AM,3:59 AM,0
66,Fallon Newband,86,Female,Heterosexual,Tinambacan,In grad school,Teacher,188,1,Catholic,Marriage,Sagittarius,1,414,666,271,314,Female,77,Shared Values,381,4,What's your go-to feel good movie or series?,24,971,4:49 PM,8:01 PM,1
67,Chen Culleton,43,Male,Pansexual,Tambaksari,High school,Financial Analyst,183,0,Catholic,Relationship,Virgo,0,722,414,354,673,Male,87,Shared Values,635,1,What's the funniest nickname someone has for you?,932,327,3:55 PM,9:03 AM,1
68,Fidelia Bulcroft,100,Bigender,Heterosexual,Vale das Mós,In grad school,Senior Quality Engineer,190,1,Christian,Marriage,Sagittarius,1,181,693,118,198,Female,95,Shared Interests,353,4,What would you do on a rainy Sunday?,539,183,9:14 AM,10:43 PM,0
69,Alden Kerins,93,Male,Pansexual,Kharabali,Graduate degree,Budget/Accounting Analyst IV,175,0,Born Again Christian,Don't know yet,Aquarius,0,545,336,189,569,Male,19,Shared Interests,163,3,What's the funniest nickname someone has for you?,406,979,3:46 PM,3:52 AM,0
70,Antonina Need,44,Female,Bisexual,Zhangtan,In college,Engineer II,211,1,Atheist,Marriage,Pisces,0,422,464,476,213,Female,49,Shared Hobbies,488,5,What's a really sexy name for someone?,324,679,11:53 AM,1:46 AM,0
71,Florida Pinckard,34,Female,Asexual,Satu Nou,High school,Data Coordinator,239,0,Buddhist,Don't know yet,Libra,0,855,515,121,315,Female,48,Shared Values,115,2,What's your go-to feel good movie or series?,337,454,10:02 PM,7:25 PM,1
72,Starla Oliff,56,Polygender,Heterosexual,Mizque,In college,VP Product Management,218,0,Buddhist,Don't know yet,Aries,0,351,733,384,713,Female,70,Shared Interests,250,5,What would you guess about me that isn't on my profile?,265,550,6:52 PM,7:54 PM,1
73,Neda Francke,41,Male,Pansexual,Kangar,High school,Quality Engineer,167,1,Agnostic,Marriage,Libra,1,436,759,308,254,Female,21,Shared Hobbies,8,5,What would you do on a rainy Sunday?,480,956,2:55 AM,3:11 PM,1
74,Syman Reddington,99,Male,Homosexual,Somerset East,Graduate degree,Compensation Analyst,207,0,Buddhist,Marriage,Gemini,0,224,53,319,617,Male,84,Shared Hobbies,512,1,What's the first thing you find attractive in someone?,626,269,9:14 PM,11:44 AM,0
75,Cam Shower,96,Female,Asexual,Busan,Graduate degree,Research Associate,210,0,Agnostic,Relationship,Gemini,1,97,51,236,343,Male,27,Shared Values,862,5,What would you guess about me that isn't on my profile?,667,704,5:16 AM,8:23 PM,0
76,Aldin Alves,63,Female,Pansexual,Arcossó,Undergraduate degree,Help Desk Operator,130,1,Hindu,Marriage,Scorpio,1,901,361,971,826,Male,42,Shared Hobbies,52,5,What's the first thing you find attractive in someone?,686,840,5:14 PM,5:12 PM,1
77,Lilly Punshon,96,Female,Heterosexual,Suicheng,High school,Pharmacist,179,1,Agnostic,Marriage,Scorpio,1,862,751,557,50,Female,49,Shared Values,788,5,When do you feel at your sexiest?,931,87,12:03 AM,8:40 AM,0
78,Marika Nazer,30,Female,Homosexual,Vorob’yovo,Graduate degree,Web Developer I,186,0,Christian,Something casual,Aries,0,984,132,108,496,Female,85,Shared Hobbies,489,2,What's the first thing you find attractive in someone?,356,925,6:03 PM,1:26 PM,1
79,Waneta Kamien,33,Female,Heterosexual,Sangumata,Graduate degree,Chemical Engineer,203,1,Agnostic,Something casual,Aries,0,279,523,763,975,Genderfluid,4,Shared Interests,990,2,What would you do on a rainy Sunday?,223,780,12:20 AM,5:25 AM,1
80,Hubie Wilbraham,66,Female,Asexual,Semikarakorsk,In grad school,Senior Sales Associate,206,0,Born Again Christian,Something casual,Scorpio,0,571,537,478,36,Male,48,Shared Values,950,2,What would you guess about me that isn't on my profile?,311,519,6:18 AM,5:35 PM,0
81,Christiana Le Brum,34,Male,Heterosexual,Dasheng,In college,Occupational Therapist,201,0,Born Again Christian,Marriage,Virgo,0,526,436,453,182,Genderfluid,20,Shared Hobbies,145,1,What would you guess about me that isn't on my profile?,542,712,12:33 PM,3:21 AM,0
82,Clerc Messager,38,Female,Asexual,Caojia,Graduate degree,Media Manager I,179,0,Agnostic,Something casual,Virgo,0,126,348,117,659,Male,93,Shared Values,351,5,What's your go-to feel good movie or series?,586,625,11:13 PM,2:19 AM,0
83,Hunfredo Tigner,87,Male,Heterosexual,Kamenka,In grad school,Developer II,146,0,Catholic,Don't know yet,Taurus,0,648,22,480,982,Male,72,Shared Values,98,4,What's a really sexy name for someone?,62,647,4:08 PM,1:40 PM,0
84,Christoforo Kiddell,84,Agender,Bisexual,Port Saint John’s,In college,Programmer I,168,0,Atheist,Marriage,Cancer,1,970,394,338,326,Male,88,Shared Interests,626,5,When do you feel at your sexiest?,214,678,8:50 AM,1:42 PM,1
85,Tamarah Mergue,37,Genderfluid,Heterosexual,Alajuela,In college,Pharmacist,120,0,Hindu,Marriage,Cancer,0,149,877,858,449,Polygender,6,Shared Interests,632,5,What would you do on a rainy Sunday?,684,794,8:57 AM,11:31 PM,0
86,Eric Jorger,71,Female,Bisexual,Illintsi,In college,Senior Financial Analyst,162,1,Buddhist,Don't know yet,Sagittarius,0,566,172,199,725,Male,39,Shared Hobbies,497,5,What's something you've done and will never do again?,983,657,1:16 PM,3:48 AM,0
87,Nadia Attlee,51,Female,Heterosexual,Memphis,In college,Analog Circuit Design manager,208,0,INC,Don't know yet,Pisces,1,142,222,662,630,Female,44,Shared Hobbies,674,5,What would you guess about me that isn't on my profile?,639,108,3:32 PM,7:57 AM,0
88,Gertrud Cansfield,30,Male,Heterosexual,Yishi,In grad school,GIS Technical Architect,155,1,Buddhist,Relationship,Aries,1,725,225,514,658,Female,2,Shared Values,335,2,What would you guess about me that isn't on my profile?,551,792,6:52 AM,2:01 AM,0
89,Georgi Leonardi,45,Female,Bisexual,Mojkovac,In college,Pharmacist,217,0,INC,Don't know yet,Gemini,1,373,800,120,257,Male,72,Shared Hobbies,340,5,Who's your favorite LGBTQ+ icon and why?,339,715,2:06 PM,10:39 PM,0
90,Winona Long,50,Female,Homosexual,Anfusi,Graduate degree,Assistant Professor,198,1,Born Again Christian,Relationship,Aquarius,0,339,710,362,855,Female,68,Shared Interests,170,5,Who's your favorite LGBTQ+ icon and why?,149,533,11:40 AM,8:16 PM,1
91,Wainwright Tatersale,62,Male,Homosexual,Encontrados,High school,VP Accounting,163,0,INC,Marriage,Gemini,1,266,619,635,41,Agender,96,Shared Hobbies,874,1,What's a really sexy name for someone?,750,907,12:53 AM,4:13 AM,0
92,Rosina Attew,45,Male,Asexual,Hinlayagan Ilaud,Undergraduate degree,Internal Auditor,202,1,Born Again Christian,Something casual,Cancer,1,272,355,871,485,Female,40,Shared Hobbies,11,4,What's the first thing you find attractive in someone?,782,442,8:30 AM,4:30 PM,1
93,Elisabeth Dovinson,38,Male,Heterosexual,Az̧ Z̧alī‘ah,High school,Engineer IV,239,1,Born Again Christian,Relationship,Pisces,1,107,398,851,710,Female,12,Shared Hobbies,177,2,What's something you've done and will never do again?,695,376,5:34 AM,12:05 AM,1
94,Dorey Matteau,41,Female,Pansexual,Angatel,In grad school,VP Product Management,155,1,Hindu,Marriage,Scorpio,1,971,287,654,589,Polygender,88,Shared Interests,723,4,What's the first thing you find attractive in someone?,567,959,12:37 PM,11:01 PM,1
95,Laurel Wann,80,Female,Bisexual,Kolyshley,In grad school,VP Quality Control,203,1,Buddhist,Something casual,Pisces,1,980,65,972,416,Female,77,Shared Interests,32,2,What would you do on a rainy Sunday?,241,507,1:54 PM,11:17 AM,0
96,Armstrong Charle,78,Female,Pansexual,Malabang,In college,Systems Administrator II,153,0,Agnostic,Relationship,Sagittarius,0,608,895,347,345,Male,92,Shared Values,299,1,What's something you've done and will never do again?,658,518,10:03 AM,6:24 PM,1
97,Maighdiln Cholonin,64,Male,Homosexual,Matai,In college,Human Resources Manager,216,1,Catholic,Don't know yet,Gemini,1,678,869,993,253,Female,79,Shared Values,604,2,Who's your favorite LGBTQ+ icon and why?,222,464,9:37 AM,10:09 AM,0
98,Grayce Gagg,93,Male,Bisexual,Placer,Graduate degree,VP Accounting,179,1,Agnostic,Marriage,Capricorn,0,46,432,809,579,Female,28,Shared Interests,445,2,What would you do on a rainy Sunday?,901,189,8:04 AM,8:31 PM,1
99,Willy Weepers,27,Male,Heterosexual,Levallois-Perret,High school,Occupational Therapist,146,0,Born Again Christian,Relationship,Taurus,1,242,313,958,722,Female,62,Shared Values,944,5,What's a really sexy name for someone?,500,949,1:35 PM,8:01 PM,0
100,Francklyn Casajuana,88,Genderfluid,Asexual,Massy,In grad school,Web Developer IV,234,1,Hindu,Marriage,Capricorn,0,415,971,738,34,Male,24,Shared Values,536,4,What would you guess about me that isn't on my profile?,852,128,4:17 AM,7:36 AM,0
101,Montague Webburn,69,Female,Pansexual,Las Flores,Undergraduate degree,Staff Accountant I,144,1,Catholic,Marriage,Virgo,1,181,125,349,687,Male,91,Shared Interests,760,4,What would you do on a rainy Sunday?,242,388,5:17 AM,1:05 AM,1
102,York Kilmary,75,Female,Pansexual,Srubec,Graduate degree,Junior Executive,153,1,Catholic,Don't know yet,Capricorn,0,357,554,466,874,Male,17,Shared Hobbies,253,5,What's something you've done and will never do again?,173,332,11:24 AM,9:41 AM,1
103,Roy Rathborne,85,Female,Asexual,Lanjaghbyur,In grad school,Human Resources Manager,132,0,Catholic,Marriage,Aquarius,1,261,237,464,838,Male,93,Shared Values,458,1,What's the first thing you find attractive in someone?,380,223,1:08 PM,8:58 AM,0
104,Cristiano Easton,78,Female,Heterosexual,Cacoal,Undergraduate degree,VP Product Management,244,0,Born Again Christian,Something casual,Gemini,0,96,225,808,274,Male,59,Shared Hobbies,526,3,What's your go-to feel good movie or series?,102,1000,6:00 AM,12:12 AM,1
105,Damiano Siemantel,63,Female,Heterosexual,Sandaogou,In grad school,Physical Therapy Assistant,157,1,Catholic,Don't know yet,Scorpio,1,248,953,96,189,Bigender,19,Shared Interests,921,5,What's your go-to feel good movie or series?,430,270,12:50 AM,1:40 AM,0
106,Emery Whyborn,63,Female,Bisexual,Weiwangzhuang,In grad school,Marketing Manager,224,1,Catholic,Something casual,Scorpio,1,266,476,33,847,Genderqueer,25,Shared Interests,153,3,What's your go-to feel good movie or series?,327,53,3:38 AM,4:28 PM,1
107,Jackquelin Collomosse,46,Male,Asexual,Toutuo,In college,Business Systems Development Analyst,169,0,Catholic,Don't know yet,Libra,0,420,920,426,625,Genderqueer,18,Shared Interests,596,3,What's the first thing you find attractive in someone?,982,737,8:24 PM,1:36 AM,0
108,Aloin Clair,91,Male,Heterosexual,Yutsa,In grad school,Biostatistician I,188,0,Buddhist,Relationship,Cancer,1,262,93,403,936,Male,94,Shared Values,869,2,What's the first thing you find attractive in someone?,440,912,3:21 PM,2:30 AM,0
